ds,yhat,yhat_lower,yhat_upper,Type
2020-01-01,19196630.67960533,18889931.93406275,19517323.622883894,Actual
2020-02-01,12532024.749547178,12207394.637489576,12836680.80184783,Actual
2020-03-01,11601743.106805785,11275262.051096005,11909401.559976608,Actual
2020-04-01,9865075.897829812,9559121.598522028,10166444.921994766,Actual
2020-05-01,13009392.283867935,12724226.082805078,13331646.979211591,Actual
2020-06-01,13412523.236384347,13100032.791600434,13703972.996654164,Actual
2020-07-01,10818288.669005165,10512765.747097636,11148214.659589661,Actual
2020-08-01,11125168.718725614,10794580.522750117,11446977.62746248,Actual
2020-09-01,16046991.835982736,15748688.029346166,16346000.399101114,Actual
2020-10-01,6462622.199497951,6159858.632670693,6773407.948911712,Actual
2020-11-01,7151358.065053149,6850080.7203380605,7461225.7712276075,Actual
2020-12-01,17960262.456049643,17643272.75480416,18267298.565096032,Actual
2021-01-01,22021120.978430465,21707238.38520915,22331387.036223363,Actual
2021-02-01,14208630.374174671,13887313.426482743,14533302.691122537,Actual
2021-03-01,13220867.798675638,12912420.407563357,13509858.37380348,Actual
2021-04-01,11531594.728308346,11220292.956439923,11822845.002644923,Actual
2021-05-01,14713377.011289427,14393198.362971894,15025682.436662043,Actual
2021-06-01,15220776.723517576,14911565.44147164,15518435.95108913,Actual
2021-07-01,12457264.624943182,12152047.306824153,12773633.562977877,Actual
2021-08-01,12547396.788356159,12223497.539258977,12855724.19322309,Actual
2021-09-01,17904446.902093533,17578623.434024423,18204442.285578117,Actual
2021-10-01,7375654.695120902,7063321.525215546,7696146.573982556,Actual
2021-11-01,8193932.282370026,7864864.718272469,8495519.058832716,Actual
2021-12-01,19527402.383459367,19217873.526717648,19811540.868349534,Actual
2022-01-01,22271102.030691124,21984874.194086723,22589517.04714017,Actual
2022-02-01,14662553.82243883,14373581.81167647,14980559.7897859,Actual
2022-03-01,13709780.853156514,13403936.11517127,14033851.650401039,Actual
2022-04-01,11781476.63756164,11494422.31373376,12108896.047992416,Actual
2022-05-01,14724311.741036078,14421376.852704149,15010379.769167047,Actual
2022-06-01,15053515.990389535,14734312.484966474,15367241.314600827,Actual
2022-07-01,12216542.251466744,11902461.681631522,12504963.403865216,Actual
2022-08-01,12194380.784527002,11886919.828444732,12488870.220903574,Actual
2022-09-01,18076105.97727492,17753593.49231713,18387115.925415628,Actual
2022-10-01,6793985.681450584,6458619.436918804,7106990.950440111,Actual
2022-11-01,7946753.882257317,7651269.058344785,8265689.787393995,Actual
2022-12-01,19968371.29442787,19687229.251125798,20276345.961510755,Actual
2022-12-31,19474741.94793661,19171937.182701696,19779628.20567041,Forecast
2023-01-31,14116828.04083812,13804050.47827247,14455972.975489244,Forecast
2023-02-28,14156036.968885027,13832641.76268655,14471292.527816543,Forecast
2023-03-31,11944401.356987737,11621007.514228733,12273573.984683217,Forecast
2023-04-30,14574005.39849547,14254089.44224875,14923072.862649439,Forecast
2023-05-31,14952631.861890955,14602895.836650755,15301484.343615985,Forecast
